Search terms
"March 31, 2026 - July 20, 2026"
Search term,Search terms match type,Added/Excluded,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate
race car driver school,Exact match (close variant),None,2,17,11.76%,USD,9.71,19.42,88.89%,88.89%,0.00,0,0,0.00%
race car driving school,Exact match (close variant),None,2,31,6.45%,USD,5.56,11.13,94.74%,100.00%,0.00,0,0,0.00%
race car school,Exact match (close variant),None,2,23,8.70%,USD,12.62,25.23,73.33%,80.00%,0.00,0,0,0.00%
race driving school,Exact match (close variant),None,2,23,8.70%,USD,5.13,10.27,75.00%,75.00%,0.00,0,0,0.00%
race schools,Exact match (close variant),None,2,14,14.29%,USD,7.93,15.86,100.00%,100.00%,0.00,0,0,0.00%
race track driving school,Exact match (close variant),None,2,5,40.00%,USD,7.10,14.20,75.00%,100.00%,0.00,0,0,0.00%
racing classes,Exact match (close variant),None,2,36,5.56%,USD,5.41,10.82,72.73%,72.73%,0.00,0,0,0.00%
racing lessons,Exact match (close variant),None,2,10,20.00%,USD,6.99,13.97,57.14%,71.43%,0.00,0,0,0.00%
scca car classes,Exact match (close variant),None,2,7,28.57%,USD,11.49,22.97,60.00%,60.00%,0.00,0,0,0.00%
scca driver school,Exact match (close variant),None,2,11,18.18%,USD,7.77,15.55,83.33%,83.33%,0.00,0,0,0.00%
scca driving school,Exact match (close variant),None,2,22,9.09%,USD,7.92,15.84,43.75%,50.00%,0.00,0,0,0.00%
scca school,Exact match (close variant),None,2,22,9.09%,USD,5.65,11.29,5.56%,33.33%,0.00,0,0,0.00%
atlanta motorsports park driving school,Phrase match (close variant),None,2,13,15.38%,USD,7.81,15.62,81.82%,81.82%,0.00,0,0,0.00%
corvette driving school,Phrase match (close variant),Excluded,2,9,22.22%,USD,5.96,11.91,66.67%,66.67%,0.00,0,0,0.00%
drift school atlanta,Phrase match (close variant),None,2,14,14.29%,USD,4.53,9.05,66.67%,66.67%,0.00,0,0,0.00%
drift schools usa,Phrase match (close variant),None,2,2,100.00%,USD,4.38,8.76,100.00%,100.00%,0.00,0,0,0.00%
high performance driving education,Phrase match (close variant),None,2,6,33.33%,USD,9.43,18.87,75.00%,75.00%,0.00,0,0,0.00%
motorsports training,Phrase match (close variant),None,2,2,100.00%,USD,11.60,23.20,100.00%,100.00%,0.00,0,0,0.00%
professional driving lessons,Phrase match (close variant),None,2,13,15.38%,USD,6.55,13.09,62.50%,87.50%,0.00,0,0,0.00%
race car driver tryouts,Phrase match (close variant),None,2,4,50.00%,USD,5.87,11.74,100.00%,100.00%,0.00,0,0,0.00%
race car driving camp,Phrase match (close variant),None,2,4,50.00%,USD,8.22,16.45,100.00%,100.00%,0.00,0,0,0.00%
richard petty driving school,Phrase match (close variant),None,2,32,6.25%,USD,10.75,21.50,36.00%,36.00%,0.00,0,0,0.00%
scca academy,Phrase match (close variant),None,2,10,20.00%,USD,7.88,15.75,33.33%,66.67%,0.00,0,0,0.00%
scca starting line school,Phrase match (close variant),None,2,8,25.00%,USD,8.63,17.26,42.86%,42.86%,0.00,0,0,0.00%
car racing class,Exact match,Added,1,1,100.00%,USD,3.03,3.03,100.00%,100.00%,0.00,0,0,0.00%
race car driver training,Exact match,Added,1,8,12.50%,USD,8.25,8.25,50.00%,83.33%,0.00,0,0,0.00%
race car lessons,Exact match,Added,1,10,10.00%,USD,6.42,6.42,100.00%,100.00%,0.00,0,0,0.00%
race car training,Exact match,Added,1,6,16.67%,USD,6.63,6.63,100.00%,100.00%,0.00,0,0,0.00%
racing academy,Exact match,Added,1,14,7.14%,USD,6.85,6.85,90.00%,90.00%,0.00,0,0,0.00%
